Menu Item,Avg. Sales Per Hr,Deal Percent,Target Sales Per Hr,Length of Deal,Monthly Sales,CrowdSize,DealCount
Violet,39.57766801952616,12.65565114916675,34.49726772511229,4.0826206329529615,587.9510539684005,58,7
DarkGreen,37.268958868297744,11.109460728682564,31.92627202636016,2.66403418213262,392.2049334443264,46,19
Bisque,37.110597442120856,11.330278057777512,33.000914755642675,4.104543202376424,487.54750486747207,43,14
SaddleBrown,36.72128267790313,13.717513665142507,34.30555662975554,3.120178782748092,581.8523440352177,10,9
MediumAquaMarine,37.53665330059473,12.795188551078114,33.33067252364639,4.446308318351434,599.4060920457634,6,17
FloralWhite,34.47687762925054,12.026925339755053,33.871037879341976,5.493507201364199,637.102447915074,23,19
DarkSlateBlue,36.68377615286961,11.366348309710526,32.02159550138701,4.685017246570912,521.5721747578274,53,7
Aqua,37.37335885854755,12.35195897300293,32.739142938380326,4.4342734348999375,549.9041461052942,27,9
Salmon,37.534497341555735,13.386235275676436,33.98777289568564,3.2734335777477144,570.2004089636196,46,8
Brown,37.14516822352819,11.814128294972196,31.93654861844892,3.202806071553459,427.1993848953282,39,7
Tomato,37.22580613162114,13.338975447662113,33.992572774953736,2.482607770510596,492.6060127179966,57,13
Tomato,37.08792607098381,11.584782999535266,33.87936082480498,3.71320920294043,522.3374046069357,54,15
RoyalBlue,37.42021557502538,10.961298400154098,29.532428967057943,4.046423164299585,408.6403510726275,43,6
Bisque,36.144666700041924,12.959226091609382,33.19033404372265,3.918541839158999,573.4158673313865,12,8
DarkBlue,36.61995708279922,13.148725692056516,32.387975853153876,2.494543646659249,470.45273330095534,49,12
Peru,36.213763093698624,12.636606052000127,30.737720372628182,3.3578468423262944,461.7807421962299,39,7
PowderBlue,34.8940927514398,11.733861690857394,32.12538689728784,3.1361327164897803,457.84769594494855,37,5
OliveDrab,38.38513659413844,12.013194694014402,32.338899323067196,2.420806160901484,407.7045475495442,30,10
Cyan,38.24411459434352,14.7153875441565,32.187812045932155,1.516575580831944,452.3156754800354,28,19
LightSeaGreen,37.190503800397956,13.989592555825254,32.61785606282345,4.064548550437977,605.061038804892,45,5
PeachPuff,37.60779252420698,11.365492025516154,32.912785111159785,4.599937357614995,534.7057438060227,11,18
Black,37.44102133556604,12.87798369625634,33.503087256719716,1.559151939957077,419.93877483917913,24,18
Olive,38.73400628989712,13.378562784168984,31.53160448257291,2.2451477874052825,436.51560572936256,53,11
Silver,36.77260376125875,11.657575922065588,32.903250973372074,3.919302308553184,519.3409891307888,44,9
Wheat,37.63575587790592,12.893669504071738,34.50755099852662,5.7051539706010255,700.9170916173961,22,10
Teal,37.738524945579094,11.765812645482356,33.02933195350689,2.7217359920452187,423.17999168059777,17,14
Linen,36.430649621049305,12.783891784275019,33.54123131310037,4.6481993164286015,619.8956398616367,6,8
MediumSlateBlue,37.85177916943607,13.007819424388568,32.33598963740772,2.9963645262685388,486.83893476506273,39,6
LemonChiffon,35.293087754360506,11.982044994015613,33.110205057717764,3.923488745527437,529.537665336851,51,9
DarkOrchid,37.27781174207212,11.965020002997901,33.10543794246846,4.742577519573317,554.7220838330761,47,19
SeaGreen,36.16364817104465,12.305417813429447,33.24190043446127,3.0623681453116887,497.5866713004408,28,5
SteelBlue,35.62244242064545,10.869163814130363,33.46105629551836,3.471413452477678,447.6879065360587,17,5
DarkMagenta,35.69417498569782,13.387492105579696,32.175501237949376,4.343062915388998,588.7126055095755,43,18
DarkGoldenRod,38.87804050675985,13.1045072428758,32.72836000313375,2.8200972339734696,491.07322367951963,51,6
DarkSeaGreen,35.368626325363024,11.634893252550464,32.82030994541536,4.1245852967146535,507.4418323396168,51,10
Gainsboro,38.76864099802668,11.936386499892285,33.61603789276768,3.6492861577147018,521.8835731664783,51,16
HotPink,36.7657223578584,11.75502370305383,31.721652360509037,1.8473704233395083,347.77692663187264,56,10
LightSeaGreen,37.0443614002997,11.984417523634924,32.8653271748764,3.4523885826307272,490.73863214395465,32,8
HoneyDew,37.38831486719822,9.954975969174418,32.74936818112046,4.650491269094463,478.1703340540876,30,19
WhiteSmoke,36.37147981406853,12.489013215743663,32.567230480275114,4.22243622534277,537.8461952695957,40,11
GhostWhite,37.53429101112128,11.733106220383403,32.07054622092545,4.6712754609062515,532.7517875818364,35,13
DarkSlateBlue,37.49669014561275,10.634561317920276,33.01954798572344,4.646119976606155,501.87443028426947,8,9
Chocolate,37.14286198458455,12.507525374016035,33.79203907501622,4.214495086037866,591.1971781805905,58,8
HoneyDew,36.888086054199256,11.52987820576495,32.89398062181101,4.643258549800133,547.2443434159983,46,13
Snow,36.11243501077792,13.414934735851688,32.04448612744043,2.2586863869468434,448.22982918655,48,19
BurlyWood,39.13109673366661,12.170525424959395,34.55576799465749,3.663105491283853,549.860590464497,23,14
Moccasin,37.335445894325716,13.146551432907062,34.56455770619167,3.8768751769237673,593.9150029682891,6,7
BlueViolet,36.46200325853961,12.988510147185293,32.726784597863976,4.113226122724209,563.6728733601083,52,8
MediumBlue,36.58272776540628,11.864126358942508,33.117218732994786,3.2025311992107337,479.73194908594513,39,14
GreenYellow,36.59445670006827,11.398064190096813,31.661049822746076,3.1983992716849063,416.35835357990084,27,7
SandyBrown,37.78026468722867,13.85806246213124,33.25633546983111,5.97676812602,725.5848140556807,56,7
MediumVioletRed,37.266878259420906,10.956790967791653,33.90022441401576,2.952668957921736,442.667251738628,43,5
DarkBlue,37.45340510152358,10.320116255059194,34.18777482695728,2.0948917061051766,384.62657156940537,35,15
SandyBrown,35.93344930095986,9.98451439654646,33.762069239131385,3.855471684564181,451.4574468676027,9,19
DarkOliveGreen,38.46832110587932,12.645195140843521,34.390163664343326,2.874596910303952,522.40414125956,34,8
GreenYellow,35.25224202243303,11.588655423353044,33.92529660119954,3.3920504890738385,483.67330801904563,31,12
DarkSalmon,39.252930950406224,13.761532847115614,32.68822929602445,2.995761182613056,520.8987944502368,8,7
DarkSeaGreen,36.17312563197192,10.56829468563276,34.3018702154015,3.315224753915404,453.16950235469744,18,14
DeepPink,36.81401056250368,11.832286222863624,32.843930222655175,3.4719191365417483,496.650708068581,8,15
Olive,37.27122169250193,12.064156632199321,33.75499472831927,3.9705556280753487,547.3651405940458,59,19
SkyBlue,38.05260975257308,12.495591602384836,33.879784289702826,4.639320331857263,616.8515229667128,29,8
Magenta,36.49399254673739,9.607314687519166,33.07653560709715,5.0812100924911086,507.21256900067846,38,10
DarkTurquoise,37.99702800956553,13.728627177429864,32.227299136367215,4.802630630523376,613.5993233689068,8,5
Silver,37.4087484767376,11.670065919118974,32.789772618310714,3.414688422504897,483.15972078451705,35,10
SpringGreen,36.60077705432864,13.276313008175375,32.77260992960089,3.462298847460372,540.2634004105403,32,9
OliveDrab,37.157624094065255,15.126994288792467,34.374258045247466,5.377593583586979,765.5184619388373,52,12
Aqua,35.358444307206696,12.695789749023144,33.0787172146689,4.0017863457980845,553.6015346844503,55,11
OrangeRed,36.375066106372905,11.835476087614285,32.80522040097184,3.4395905595500764,469.3108614953106,24,12
LimeGreen,37.68040322813719,11.306232344673575,32.43075793005128,2.7795207192736093,408.6201878298378,28,17
SkyBlue,40.005181638101895,11.187538910878676,32.179099972602344,3.5526497674265176,451.57568515949305,47,12
LightGreen,36.265000697022046,11.887494133971662,33.15417578832186,2.6022871120328714,444.96655165329264,47,11
SandyBrown,36.1571911511149,12.2289347111239,34.33589583979252,4.694322274442824,595.8228366992038,34,10
Teal,38.00658317947767,10.674653472691904,32.38625185558597,3.4015223445155094,418.1500810968496,34,8
LightYellow,37.03153921676629,12.817113090284247,32.808697592685014,3.8515788003584657,534.7771880994133,19,17
MintCream,38.26035344266013,13.5878060830337,33.879744967981246,3.2581128828882795,578.2416050583772,52,12
DimGray,38.730861735419545,12.238057349986248,32.04983939045731,3.1205689148169737,478.7193568742153,5,19
