Menu Item,Avg. Sales Per Hr,Deal Percent,Target Sales Per Hr,Length of Deal,Monthly Sales,CrowdSize,DealCount
Violet,34.49726772511229,12.65565114916675,39.57766801952616,4.0826206329529615,587.9510539684005,21,23
DarkGreen,31.92627202636016,11.109460728682564,37.268958868297744,2.66403418213262,392.2049334443264,84,38
Bisque,33.000914755642675,11.330278057777512,37.110597442120856,4.104543202376424,487.54750486747207,37,31
SaddleBrown,34.30555662975554,13.717513665142507,36.72128267790313,3.120178782748092,581.8523440352177,16,39
MediumAquaMarine,33.33067252364639,12.795188551078114,37.53665330059473,4.446308318351434,599.4060920457634,19,26
FloralWhite,33.871037879341976,12.026925339755053,34.47687762925054,5.493507201364199,637.102447915074,49,31
DarkSlateBlue,32.02159550138701,11.366348309710526,36.68377615286961,4.685017246570912,521.5721747578274,16,39
Aqua,32.739142938380326,12.35195897300293,37.37335885854755,4.4342734348999375,549.9041461052942,54,31
Salmon,33.98777289568564,13.386235275676436,37.534497341555735,3.2734335777477144,570.2004089636196,96,34
Brown,31.93654861844892,11.814128294972196,37.14516822352819,3.202806071553459,427.1993848953282,98,26
Tomato,33.992572774953736,13.338975447662113,37.22580613162114,2.4826077705105956,492.6060127179966,58,29
Tomato,33.87936082480498,11.584782999535266,37.08792607098381,3.71320920294043,522.3374046069357,20,25
RoyalBlue,29.532428967057943,10.961298400154098,37.42021557502538,4.046423164299585,408.6403510726275,64,25
Bisque,33.19033404372265,12.959226091609382,36.144666700041924,3.9185418391589986,573.4158673313865,42,26
DarkBlue,32.387975853153876,13.148725692056516,36.61995708279922,2.494543646659249,470.45273330095534,51,25
Peru,30.737720372628182,12.636606052000127,36.213763093698624,3.3578468423262944,461.7807421962299,48,29
PowderBlue,32.12538689728784,11.733861690857394,34.8940927514398,3.1361327164897803,457.84769594494855,53,31
OliveDrab,32.338899323067196,12.013194694014402,38.38513659413844,2.420806160901484,407.7045475495442,98,26
Cyan,32.187812045932155,14.7153875441565,38.24411459434352,1.516575580831944,452.3156754800354,68,31
LightSeaGreen,32.61785606282345,13.989592555825254,37.190503800397956,4.064548550437977,605.061038804892,49,21
PeachPuff,32.912785111159785,11.365492025516154,37.60779252420698,4.599937357614995,534.7057438060227,77,36
Black,33.503087256719716,12.87798369625634,37.44102133556604,1.559151939957077,419.93877483917913,23,36
Olive,31.53160448257291,13.378562784168984,38.73400628989712,2.2451477874052825,436.51560572936256,56,37
Silver,32.903250973372074,11.657575922065588,36.77260376125875,3.9193023085531835,519.3409891307888,87,37
Wheat,34.50755099852662,12.893669504071738,37.63575587790592,5.7051539706010255,700.9170916173961,33,33
Teal,33.02933195350689,11.765812645482356,37.738524945579094,2.7217359920452187,423.17999168059777,65,25
Linen,33.54123131310037,12.783891784275019,36.430649621049305,4.6481993164286015,619.8956398616367,92,24
MediumSlateBlue,32.33598963740772,13.007819424388568,37.85177916943607,2.9963645262685388,486.83893476506273,85,24
LemonChiffon,33.110205057717764,11.982044994015613,35.293087754360506,3.9234887455274365,529.537665336851,74,25
DarkOrchid,33.10543794246846,11.965020002997901,37.27781174207212,4.742577519573317,554.7220838330761,25,36
SeaGreen,33.24190043446127,12.305417813429447,36.16364817104465,3.0623681453116887,497.5866713004408,62,25
SteelBlue,33.46105629551836,10.869163814130363,35.62244242064545,3.471413452477678,447.6879065360587,17,34
DarkMagenta,32.175501237949376,13.387492105579696,35.69417498569782,4.343062915388998,588.7126055095755,80,33
DarkGoldenRod,32.72836000313375,13.1045072428758,38.87804050675985,2.8200972339734696,491.07322367951963,47,33
DarkSeaGreen,32.82030994541536,11.634893252550464,35.368626325363024,4.1245852967146535,507.4418323396168,89,26
Gainsboro,33.61603789276768,11.936386499892285,38.76864099802668,3.6492861577147018,521.8835731664783,74,39
HotPink,31.721652360509037,11.75502370305383,36.7657223578584,1.8473704233395083,347.77692663187264,32,30
LightSeaGreen,32.8653271748764,11.984417523634924,37.0443614002997,3.4523885826307272,490.73863214395465,75,36
HoneyDew,32.74936818112046,9.954975969174418,37.38831486719822,4.650491269094463,478.1703340540876,72,24
WhiteSmoke,32.567230480275114,12.489013215743663,36.37147981406853,4.22243622534277,537.8461952695957,74,24
GhostWhite,32.07054622092545,11.733106220383403,37.53429101112128,4.671275460906252,532.7517875818364,30,28
DarkSlateBlue,33.01954798572344,10.634561317920276,37.49669014561275,4.646119976606155,501.87443028426947,64,34
Chocolate,33.79203907501622,12.507525374016035,37.14286198458455,4.214495086037866,591.1971781805905,23,26
HoneyDew,32.89398062181101,11.52987820576495,36.888086054199256,4.643258549800133,547.2443434159983,45,24
Snow,32.04448612744043,13.414934735851688,36.11243501077792,2.2586863869468434,448.22982918655,39,29
BurlyWood,34.55576799465749,12.170525424959395,39.13109673366661,3.663105491283853,549.860590464497,39,21
Moccasin,34.56455770619167,13.146551432907062,37.335445894325716,3.8768751769237673,593.9150029682891,24,34
BlueViolet,32.726784597863976,12.988510147185293,36.46200325853961,4.113226122724209,563.6728733601083,49,27
MediumBlue,33.117218732994786,11.864126358942508,36.58272776540628,3.2025311992107337,479.73194908594513,21,38
GreenYellow,31.661049822746076,11.398064190096813,36.59445670006827,3.1983992716849063,416.35835357990084,48,30
SandyBrown,33.25633546983111,13.85806246213124,37.78026468722867,5.97676812602,725.5848140556807,40,28
MediumVioletRed,33.90022441401576,10.956790967791653,37.266878259420906,2.9526689579217362,442.667251738628,61,32
DarkBlue,34.18777482695728,10.320116255059194,37.45340510152358,2.0948917061051766,384.62657156940537,96,34
SandyBrown,33.762069239131385,9.98451439654646,35.93344930095986,3.855471684564181,451.4574468676027,58,26
DarkOliveGreen,34.390163664343326,12.645195140843521,38.46832110587932,2.8745969103039517,522.40414125956,88,33
